0.000000,0.349200,0.357300,0.366700,0.363600,0.374100,0.396300,0.417500,0.450700,0.473200,0.505400,0.538700,0.582700
0.349200,0.000000,0.375600,0.387000,0.396700,0.387500,0.406400,0.432200,0.447500,0.480300,0.503000,0.536400,0.586800
0.357300,0.375600,0.000000,0.412200,0.410300,0.417100,0.425800,0.448100,0.473900,0.495000,0.517600,0.554700,0.595100
0.366700,0.387000,0.412200,0.000000,0.429900,0.433100,0.441300,0.457500,0.474700,0.502200,0.527600,0.566900,0.598100
0.363600,0.396700,0.410300,0.429900,0.000000,0.453800,0.460700,0.469400,0.492000,0.514200,0.536600,0.568300,0.612700
0.374100,0.387500,0.417100,0.433100,0.453800,0.000000,0.480800,0.483900,0.506100,0.517100,0.546700,0.574400,0.620900
0.396300,0.406400,0.425800,0.441300,0.460700,0.480800,0.000000,0.507000,0.518400,0.549400,0.560400,0.581100,0.628600
0.417500,0.432200,0.448100,0.457500,0.469400,0.483900,0.507000,0.000000,0.542000,0.557600,0.586300,0.607700,0.628400
0.450700,0.447500,0.473900,0.474700,0.492000,0.506100,0.518400,0.542000,0.000000,0.578500,0.593500,0.618900,0.644700
0.473200,0.480300,0.495000,0.502200,0.514200,0.517100,0.549400,0.557600,0.578500,0.000000,0.601600,0.630100,0.657100
0.505400,0.503000,0.517600,0.527600,0.536600,0.546700,0.560400,0.586300,0.593500,0.601600,0.000000,0.642300,0.672300
0.538700,0.536400,0.554700,0.566900,0.568300,0.574400,0.581100,0.607700,0.618900,0.630100,0.642300,0.000000,0.675100
0.582700,0.586800,0.595100,0.598100,0.612700,0.620900,0.628600,0.628400,0.644700,0.657100,0.672300,0.675100,0.000000
