348	2008	0.000	1.341	33.417	4.740
712	4024	0.000	1.350	33.127	4.819
1066	6052	0.000	1.326	33.954	4.820
1417	8084	0.000	1.399	35.347	5.144
1768	10122	0.000	1.393	36.815	5.255
2121	12174	0.000	1.510	37.728	5.791
2493	14226	0.000	1.619	41.590	6.246
2858	16288	0.000	1.795	46.019	6.974
3213	18358	0.000	1.992	49.292	7.687
3600	20436	0.000	2.251	57.408	8.602
3980	22518	0.000	2.470	63.945	9.488
4348	24608	0.000	2.868	69.277	10.938
4714	26708	0.000	3.162	77.512	11.995
5078	28812	0.000	3.621	85.062	13.654
5451	30924	0.000	4.112	96.912	15.415
5819	33044	0.000	4.656	106.254	17.472
6195	35172	0.000	5.185	117.652	19.371
6574	37312	0.000	5.665	130.003	21.122
6955	39456	0.000	6.511	142.991	24.134
7333	41608	0.000	7.171	159.836	26.541
7705	43770	0.000	7.926	169.984	29.263
8094	45936	0.000	8.726	181.238	32.091
8472	48114	0.000	9.252	201.420	34.017
8853	50304	0.000	10.558	214.086	38.633
9235	52494	0.000	11.676	241.578	42.745
9618	54694	0.000	12.476	259.043	45.476
10019	56900	0.000	13.442	279.284	48.904
364	2084	0.000	0.184	13.542	1.155
758	4238	0.000	0.201	15.215	1.253
373	2078	0.000	0.037	8.909	0.380
765	4234	0.000	0.021	5.453	0.243
1162	6468	0.000	0.012	5.036	0.180
4062	20004	0.000	2.269	11.393	2.751
8175	40010	0.000	2.295	11.545	2.765
12297	60012	0.000	2.383	12.079	2.830
