,hand_idx,pos_idx,hand_num_1,hand_suit_1,hand_num_2,hand_suit_2,board_num_1,board_suit_1,board_num_2,board_suit_2,board_num_3,board_suit_3,board_num_4,board_suit_4,board_num_5,board_suit_5,stage,current_stack,pot,action_type,action_value,current_bet,num_active_players,net_stack
43,20,0,7,s,Q,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,2498.378875972523,180210.19139176313,player_1,FOLD,180140.19139176313,1,-40.0
44,21,0,T,h,A,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,2448.378875972523,50,player_1,RAISE,0,2,10.0
45,22,0,6,c,J,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,2488.378875972523,50,player_1,CHECK,0,2,-20.0
46,22,0,6,c,J,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,2488.378875972523,123698.40096565233,player_1,FOLD,123648.40096565233,1,-20.0
47,23,0,2,c,3,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,2438.378875972523,50,player_1,RAISE,0,2,10.0
48,24,0,T,h,Q,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,2458.378875972523,50,player_1,RAISE,0,2,-2498.378875972523
49,24,0,T,h,Q,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,0.0,176071.0828351604,player_1,CALL,176001.0828351604,2,-2498.378875972523
50,24,0,T,h,Q,d,4,s,8,s,K,d,_,_,_,_,FLOP,0.0,178529.46171113293,player_1,ALL_IN,0,2,-2498.378875972523
51,24,0,T,h,Q,d,4,s,8,s,K,d,_,_,_,_,FLOP,0.0,183495.0875100354,player_1,ALL_IN,4965.625798902485,2,-2498.378875972523
52,24,0,T,h,Q,d,4,s,8,s,K,d,J,h,_,_,TURN,0.0,183495.0875100354,player_1,ALL_IN,0,2,-2498.378875972523
53,24,0,T,h,Q,d,4,s,8,s,K,d,J,h,_,_,TURN,0.0,183909.97071744723,player_1,ALL_IN,414.8832074118243,2,-2498.378875972523
54,24,0,T,h,Q,d,4,s,8,s,K,d,J,h,K,s,RIVER,0.0,183909.97071744723,player_1,ALL_IN,0,2,-2498.378875972523
55,24,0,T,h,Q,d,4,s,8,s,K,d,J,h,K,s,RIVER,0.0,185920.7058410943,player_1,ALL_IN,2010.7351236470934,2,-2498.378875972523
56,26,0,Q,d,A,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,99960,50,player_1,RAISE,0,2,-100000.0
57,26,0,Q,d,A,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,36669.17843156446,63360.82156843554,player_1,CALL,63290.82156843554,2,-100000.0
58,26,0,Q,d,A,d,5,h,6,h,T,s,_,_,_,_,FLOP,36649.17843156446,126651.64313687108,player_1,RAISE,0,2,-100000.0
59,26,0,Q,d,A,d,5,h,6,h,T,s,_,_,_,_,FLOP,735.3240505428184,162565.4975178927,player_1,RAISE,35893.85438102164,2,-100000.0
60,26,0,Q,d,A,d,5,h,6,h,T,s,_,_,_,_,FLOP,0.0,223998.6839548574,player_1,CALL,25519.332055943043,2,-100000.0
61,26,0,Q,d,A,d,5,h,6,h,T,s,A,c,_,_,TURN,0.0,224734.00800540022,player_1,ALL_IN,0,2,-100000.0
62,26,0,Q,d,A,d,5,h,6,h,T,s,A,c,4,d,RIVER,0.0,224734.00800540022,player_1,ALL_IN,0,2,-100000.0
63,28,0,3,d,7,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,99980,50,player_1,CHECK,0,2,100040.0
64,28,0,3,d,7,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,48851.54109043344,51158.45890956656,player_1,RAISE,51108.45890956656,2,100040.0
65,28,0,3,d,7,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,0.0,153129.2389044161,player_1,CALL,50842.32108528299,2,100040.0
66,28,0,3,d,7,c,T,c,Q,s,3,s,_,_,_,_,FLOP,0.0,201980.77999484952,player_1,ALL_IN,0,2,100040.0
67,28,0,3,d,7,c,T,c,Q,s,3,s,K,h,_,_,TURN,0.0,201980.77999484952,player_1,ALL_IN,0,2,100040.0
68,28,0,3,d,7,c,T,c,Q,s,3,s,K,h,3,h,RIVER,0.0,201980.77999484952,player_1,ALL_IN,0,2,100040.0
69,30,0,5,s,K,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,99980,50,player_1,CHECK,0,2,30.0
70,30,0,5,s,K,h,7,c,7,d,3,s,_,_,_,_,FLOP,99960,50,player_1,RAISE,0,2,30.0
71,31,0,2,h,A,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,100000.0,67599.57415135029,player_1,FOLD,67549.57415135029,1,-30.0
72,32,0,7,h,K,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,99960.0,50,player_1,RAISE,0,2,30.0
73,33,0,J,d,A,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,100000.0,81284.29740675095,player_1,FOLD,81234.29740675095,1,-30.0
74,34,0,9,d,K,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,99980.0,50,player_1,CHECK,0,2,-20.0
75,34,0,9,d,K,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,99980.0,3899.1647699028927,player_1,FOLD,3849.1647699028927,1,-20.0
76,35,0,3,d,7,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,99950.0,50564.80458152383,player_1,FOLD,50514.80458152383,1,-30.0
