,hand_idx,pos_idx,hand_num_1,hand_suit_1,hand_num_2,hand_suit_2,board_num_1,board_suit_1,board_num_2,board_suit_2,board_num_3,board_suit_3,board_num_4,board_suit_4,board_num_5,board_suit_5,stage,current_stack,pot,action_type,action_value,current_bet,num_active_players,net_stack
94,48,1,J,c,Q,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,105059.01881701217,50,rl_bot,RAISE,0,2,20.0
95,49,1,6,s,7,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,167584.1892005407,50,rl_bot,CHECK,0,2,-10.0
96,49,1,6,s,7,c,8,h,T,h,T,c,_,_,_,_,FLOP,167584.1892005407,50,rl_bot,CHECK,0,2,-10.0
97,49,1,6,s,7,c,8,h,T,h,T,c,3,s,_,_,TURN,167584.1892005407,50,rl_bot,CHECK,0,2,-10.0
98,49,1,6,s,7,c,8,h,T,h,T,c,3,s,_,_,TURN,167584.1892005407,70,rl_bot,FOLD,20,1,-10.0
99,50,1,T,s,J,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,143063.35464590605,70,rl_bot,RAISE,20,2,-32445.810799459345
100,50,1,T,s,J,h,4,h,2,c,3,d,_,_,_,_,FLOP,26928.207482949656,49091.66910926936,rl_bot,RAISE,20,2,-32445.810799459345
101,50,1,T,s,J,h,4,h,2,c,3,d,9,c,_,_,TURN,19554.261924891816,173071.7925170504,rl_bot,RAISE,0,2,-32445.810799459345
102,50,1,T,s,J,h,4,h,2,c,3,d,9,c,K,s,RIVER,4917.526125838649,180445.73807510824,rl_bot,RAISE,0,2,-32445.810799459345
103,51,1,2,d,3,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,135128.37840108137,50,rl_bot,CHECK,0,2,-10.0
104,51,1,2,d,3,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,135128.37840108137,70,rl_bot,FOLD,20,1,-10.0
